study_hours,attendance,previous_score,sleep_hours,assignments_completed,final_score
1,77,52,8,3,40
7,86,74,8,9,68
6,86,49,5,3,50
4,78,77,8,8,61
4,94,76,5,5,63
7,82,49,7,3,46
1,63,82,6,4,48
6,90,65,6,6,60
2,82,84,5,8,58
1,85,47,8,7,42
5,82,53,6,10,50
8,82,69,7,9,68
6,63,54,6,8,58
7,82,61,6,7,56
6,91,78,8,3,66
7,72,52,5,5,52
5,84,78,7,2,58
2,61,50,7,4,36
7,73,53,6,10,57
4,77,74,6,5,59
5,99,84,5,2,64
3,68,53,8,7,52
2,71,59,8,10,53
8,76,91,5,9,74
7,99,94,5,3,76
6,94,74,5,5,64
4,61,67,5,6,53
7,69,62,8,3,55
5,92,75,8,3,60
4,62,74,5,3,49
4,94,59,7,10,61
2,71,46,5,8,39
1,96,52,6,9,50
5,71,92,7,9,66
8,77,65,7,10,69
1,86,69,8,2,50
7,65,68,5,9,66
7,82,84,5,1,65
3,80,48,6,5,40
6,91,49,6,6,54
2,99,58,8,4,46
7,86,69,8,2,59
6,76,78,6,2,63
3,76,69,8,9,58
1,76,67,6,4,43
8,92,91,7,4,70
4,72,53,6,10,51
8,66,73,5,2,55
6,73,72,8,10,62
7,60,68,5,10,61
7,64,85,5,6,67
2,63,58,5,2,42
3,90,92,6,2,53
4,88,61,5,3,52
4,87,72,5,6,57
1,78,71,7,2,47
5,88,87,8,5,70
2,66,66,5,2,37
6,96,59,6,6,57
6,80,46,7,1,50
8,97,63,8,8,63
6,66,86,7,1,64
3,79,45,8,2,43
8,87,89,7,2,72
4,79,72,6,9,57
3,77,52,5,1,44
8,66,60,8,5,62
3,75,72,8,6,55
1,69,60,5,6,44
4,72,50,7,7,49
7,87,78,5,9,65
2,85,78,7,4,53
4,84,50,8,9,52
2,74,59,5,4,45
6,98,57,6,10,65
4,63,77,5,6,51
3,73,81,7,8,58
2,64,81,8,9,60
5,73,91,5,8,63
6,98,83,6,9,68
8,74,61,8,6,62
4,96,50,6,1,50
2,79,75,5,5,51
7,87,90,6,2,71
6,78,93,7,9,73
6,70,56,7,3,54
1,90,56,6,3,45
3,98,46,8,3,54
7,70,52,7,7,55
7,91,72,6,6,59
4,70,72,8,10,63
7,88,63,8,5,60
7,91,60,6,3,59
4,77,86,5,1,60
8,89,68,7,1,57
3,70,85,7,4,52
2,63,93,5,10,54
6,63,60,7,6,51
6,77,55,8,9,59
2,96,92,5,2,60
7,65,76,7,1,59
2,78,59,5,9,45
7,88,76,7,2,56
1,68,70,6,1,43
7,88,90,5,5,68
7,72,57,8,10,62
7,92,94,5,7,75
6,83,91,7,1,65
4,81,54,5,9,54
6,67,53,8,9,56
3,78,71,7,9,58
7,94,47,8,10,59
5,60,59,6,3,47
4,90,66,6,10,60
5,79,93,7,4,67
5,88,94,8,9,70
1,86,52,8,6,46
2,77,89,5,8,58
2,72,49,7,7,43
1,85,82,5,7,57
